slug,stars,topics,watchers
bhanuraina/azure-pipelines-tasks,0.0,[],1.0
chinnadhurai/block_rnn,0.0,[],1.0
hemanthkumarsa13/test,0.0,[],2.0
elBukkit/MagicPlugin,120.0,"['spigot', 'spigot-plugin', 'spigot-server', 'java', 'minecraft', 'minecraft-server', 'nathanwolf-magic-plugin']",20.0
Mozl/juice-shop,0.0,[],2.0
AvaloniaUI/Avalonia,11421.0,"['c-sharp', 'xaml', 'multi-platform', 'gui', 'avalonia', 'avaloniaui', 'cross-platform', 'dotnet', 'dotnetcore', 'user-interface', 'csharp', 'cross-platform-xaml']",441.0
su2code/SU2,762.0,"['cfd', 'c-plus-plus', 'simulation', 'optimization', 'python', 'opensource', 'physics', 'flow', 'fluid', 'fluid-dynamics', 'hpc']",176.0
VijayEluri/coding-dojo,0.0,[],0.0
Phil-LiDAR2-Geonode/pl2-geonode-2.6,0.0,[],6.0
smtcrms/jekyll,0.0,[],0.0
genestudio/enterprise,0.0,[],0.0
sergiodctest/reactclone,0.0,[],0.0
atu-328/farmanimal,0.0,[],0.0
Khadkabogati/apache-maven,0.0,[],1.0
Zacharyharu/bootstrap,0.0,[],1.0
